colummn,Division,Station Latitude,Station Longitude,Number of Entrances
1 AV,BMT,40.731324,-73.982577,
103 ST,IND,40.796092,-73.961454,1
103 ST-CORONA,IRT,40.749865,-73.8627,4
104 ST,BMT,40.695178,-73.84433,2
110 ST,IRT,40.799075,-73.951822,2
111 ST,BMT,40.697418,-73.836345,2
116 ST,IND,40.805085,-73.954882,4
116 ST-COLUMBIA,IRT,40.807722,-73.96411,5
121 ST,BMT,40.700492,-73.828294,4
125 ST,IND,40.811109,-73.952343,6
135 ST,IND,40.817894,-73.947649,6
137 ST CITY COL,IRT,40.822008,-73.953676,4
138/GRAND CONC,IRT,40.813224,-73.929849,3
14 ST,IND,40.740893,-74.00169,8
14 ST-UNION SQ,BMT,40.735736,-73.990568,4
145 ST,IND,40.824783,-73.944216,6
149/GRAND CONC,IRT,40.818375,-73.927351,4
14TH STREET,PTH,40.737393,-73.996862,
15 ST-PROSPECT,IND,40.660365,-73.979493,6
155 ST,IND,40.830135,-73.938209,1
157 ST,IRT,40.834041,-73.94489,4
161/YANKEE STAD,IND,40.827905,-73.925651,8
163 ST-AMSTERDM,IND,40.836013,-73.939892,3
167 ST,IND,40.833769,-73.918432,6
168 ST,IND,40.840719,-73.939561,4
169 ST,IND,40.71047,-73.793604,8
170 ST,IND,40.839306,-73.9134,5
174 ST,IRT,40.837288,-73.887734,4
174-175 STS,IND,40.8459,-73.910136,4
175 ST,IND,40.847391,-73.939704,7
176 ST,IRT,40.84848,-73.911794,2
18 AV,BMT,40.620671,-73.990414,2
18 ST,IRT,40.74104,-73.997871,6
181 ST,IND,40.851695,-73.937969,5
182-183 STS,IND,40.856093,-73.900741,4
183 ST,IRT,40.858407,-73.903879,3
190 ST,IND,40.859022,-73.93418,2
191 ST,IRT,40.855225,-73.929412,2
2 AV,IND,40.723402,-73.989938,4
20 AV,BMT,40.61741,-73.985026,1
207 ST,IRT,40.864614,-73.918819,4
21 ST,IND,40.754203,-73.942836,5
21 ST-QNSBRIDGE,IND,40.754203,-73.942836,8
215 ST,IRT,40.869444,-73.915279,4
219 ST,IRT,40.883895,-73.862633,2
225 ST,IRT,40.888022,-73.860341,3
23 ST,BMT,40.741303,-73.989344,8
231 ST,IRT,40.878856,-73.904834,4
233 ST,IRT,40.893193,-73.857473,2
238 ST,IRT,40.898379,-73.854376,2
25 AV,BMT,40.597704,-73.986829,4
25 ST,BMT,40.660397,-73.998091,2
28 ST,BMT,40.745494,-73.988691,4
3 AV,BMT,40.732849,-73.986122,4
3 AV 138 ST,IRT,40.810476,-73.926138,7
3 AV-149 ST,IRT,40.816109,-73.917757,8
30 AV,#N/A,#N/A,#N/A,
33 ST,IRT,40.746081,-73.982076,9
33 ST-RAWSON ST,IRT,40.746081,-73.982076,9
34 ST-HERALD SQ,BMT,40.749567,-73.98795,4
34 ST-HUDSON YD,IRT,40.755882,-74.00191,2
34 ST-PENN STA,IND,40.752287,-73.993391,16
36 AV,#N/A,#N/A,#N/A,
36 ST,BMT,40.655144,-74.003549,3
39 AV,BMT,40.752882,-73.932755,2
4 AV-9 ST,IND,40.670272,-73.989779,2
40 ST LOWERY ST,IRT,40.743781,-73.924016,4
42 ST-BRYANT PK,IND,40.757308,-73.989735,18
42 ST-PORT AUTH,IND,40.757308,-73.989735,18
45 ST,BMT,40.648939,-74.010006,4
46 ST,IND,40.756312,-73.913333,4
46 ST BLISS ST,IRT,40.743132,-73.918435,6
47-50 STS ROCK,IND,40.758663,-73.981329,17
49 ST,BMT,40.759901,-73.984139,7
4AV-9 ST,BMT,40.670847,-73.988302,2
5 AV/53 ST,IND,40.760167,-73.975224,5
5 AV/59 ST,BMT,40.764811,-73.973347,7
5 AVE,IRT,40.753821,-73.981963,3
50 ST,BMT,40.63626,-73.994791,4
51 ST,IRT,40.757107,-73.97192,9
52 ST,IRT,40.744149,-73.912549,4
55 ST,BMT,40.631435,-73.995476,3
57 ST,IND,40.763972,-73.97745,8
57 ST-7 AV,BMT,40.764664,-73.980658,8
59 ST,BMT,40.641362,-74.017881,6
59 ST COLUMBUS,IND,40.768296,-73.981736,12
6 AV,BMT,40.737335,-73.996786,2
61 ST WOODSIDE,IRT,40.74563,-73.902984,3
63 DR-REGO PARK,IND,40.729846,-73.861604,7
65 ST,IND,40.749669,-73.898453,2
66 ST-LINCOLN,IRT,40.77344,-73.982209,6
67 AV,#N/A,#N/A,#N/A,
68ST-HUNTER CO,IRT,40.768141,-73.96387,5
69 ST,IRT,40.746325,-73.896403,2
7 AV,BMT,40.67705,-73.972367,2
71 ST,BMT,40.619589,-73.998864,6
72 ST,IND,40.775594,-73.97641,3
72 ST-2 AVE,IND,40.775594,-73.97641,3
74 ST-BROADWAY,IRT,40.746848,-73.891394,1
75 AV,IND,40.718331,-73.837324,3
75 ST-ELDERTS,BMT,40.691324,-73.867139,2
77 ST,BMT,40.629742,-74.02551,3
