,STATION,Total_Traffic,Day,Time_Range,DT
0,1 AV,1080.0,Sunday,04:00 to 08:00,04/30/2017
1,1 AV,4248.0,Sunday,08:00 to 12:00,04/30/2017
2,1 AV,7669.0,Sunday,12:00 to 16:00,04/30/2017
3,1 AV,8180.0,Sunday,16:00 to 20:00,04/30/2017
4,1 AV,4946.0,Sunday,20:00 to 00:00,04/30/2017
5,1 AV,704.0,Monday,00:00 to 04:00,05/01/2017
6,1 AV,5100.0,Monday,04:00 to 08:00,05/01/2017
7,1 AV,10538.0,Monday,08:00 to 12:00,05/01/2017
8,1 AV,8687.0,Monday,12:00 to 16:00,05/01/2017
9,1 AV,12671.0,Monday,16:00 to 20:00,05/01/2017
10,1 AV,6493.0,Monday,20:00 to 00:00,05/01/2017
11,1 AV,810.0,Tuesday,00:00 to 04:00,05/02/2017
12,1 AV,5353.0,Tuesday,04:00 to 08:00,05/02/2017
13,1 AV,10911.0,Tuesday,08:00 to 12:00,05/02/2017
14,1 AV,8600.0,Tuesday,12:00 to 16:00,05/02/2017
15,1 AV,13346.0,Tuesday,16:00 to 20:00,05/02/2017
16,1 AV,7139.0,Tuesday,20:00 to 00:00,05/02/2017
17,1 AV,909.0,Wednesday,00:00 to 04:00,05/03/2017
18,1 AV,5452.0,Wednesday,04:00 to 08:00,05/03/2017
19,1 AV,10860.0,Wednesday,08:00 to 12:00,05/03/2017
20,1 AV,9212.0,Wednesday,12:00 to 16:00,05/03/2017
21,1 AV,13881.0,Wednesday,16:00 to 20:00,05/03/2017
22,1 AV,7494.0,Wednesday,20:00 to 00:00,05/03/2017
23,1 AV,935.0,Thursday,00:00 to 04:00,05/04/2017
24,1 AV,5153.0,Thursday,04:00 to 08:00,05/04/2017
25,1 AV,11087.0,Thursday,08:00 to 12:00,05/04/2017
26,1 AV,9235.0,Thursday,12:00 to 16:00,05/04/2017
27,1 AV,14239.0,Thursday,16:00 to 20:00,05/04/2017
28,1 AV,7585.0,Thursday,20:00 to 00:00,05/04/2017
29,1 AV,1226.0,Friday,00:00 to 04:00,05/05/2017
30,1 AV,4895.0,Friday,04:00 to 08:00,05/05/2017
31,1 AV,11295.0,Friday,08:00 to 12:00,05/05/2017
32,1 AV,9602.0,Friday,12:00 to 16:00,05/05/2017
33,1 AV,13685.0,Friday,16:00 to 20:00,05/05/2017
34,1 AV,8032.0,Friday,20:00 to 00:00,05/05/2017
35,1 AV,10.0,Saturday,00:00 to 04:00,05/06/2017
36,1 AV,7.0,Saturday,04:00 to 08:00,05/06/2017
37,1 AV,31.0,Saturday,08:00 to 12:00,05/06/2017
38,1 AV,22.5,Saturday,12:00 to 16:00,05/06/2017
39,1 AV,12.5,Saturday,16:00 to 20:00,05/06/2017
40,1 AV,2.0,Saturday,20:00 to 00:00,05/06/2017
41,1 AV,6.0,Sunday,00:00 to 04:00,05/07/2017
42,1 AV,6.0,Sunday,04:00 to 08:00,05/07/2017
43,1 AV,9.0,Sunday,08:00 to 12:00,05/07/2017
44,1 AV,10.0,Sunday,12:00 to 16:00,05/07/2017
45,1 AV,9.0,Sunday,16:00 to 20:00,05/07/2017
46,1 AV,21.0,Sunday,20:00 to 00:00,05/07/2017
47,1 AV,15.0,Monday,00:00 to 04:00,05/08/2017
48,1 AV,5093.0,Monday,04:00 to 08:00,05/08/2017
49,1 AV,10403.0,Monday,08:00 to 12:00,05/08/2017
50,1 AV,8519.0,Monday,12:00 to 16:00,05/08/2017
51,1 AV,12891.0,Monday,16:00 to 20:00,05/08/2017
52,1 AV,6176.0,Monday,20:00 to 00:00,05/08/2017
53,1 AV,882.0,Tuesday,00:00 to 04:00,05/09/2017
54,1 AV,5362.0,Tuesday,04:00 to 08:00,05/09/2017
55,1 AV,10510.0,Tuesday,08:00 to 12:00,05/09/2017
56,1 AV,8694.0,Tuesday,12:00 to 16:00,05/09/2017
57,1 AV,13198.0,Tuesday,16:00 to 20:00,05/09/2017
58,1 AV,6883.0,Tuesday,20:00 to 00:00,05/09/2017
59,1 AV,947.0,Wednesday,00:00 to 04:00,05/10/2017
60,1 AV,5379.0,Wednesday,04:00 to 08:00,05/10/2017
